States/UTs,Total No. of Road Accidents - 2006,Total No. of Road Accidents - 2007,Total No. of Road Accidents - 2008,Total No. of Road Accidents - 2009,Total No. of Road Accidents - 2010,Total No. of Road Accidents - 2011,Total No. of Road Accidents - 2012,Total No. of Road Accidents - 2013,Total No. of Road Accidents - 2014,Total No. of Road Accidents - 2015,Total No. of Road Accidents - 2016,Number of Persons Killed - 2006,Number of Persons Killed - 2007,Number of Persons Killed - 2008,Number of Persons Killed - 2009,Number of Persons Killed - 2010,Number of Persons Killed - 2011,Number of Persons Killed - 2012,Number of Persons Killed - 2013,Number of Persons Killed - 2014,Number of Persons Killed - 2015,Number of Persons Killed - 2016,Number of Persons Injured - 2006,Number of Persons Injured - 2007,Number of Persons Injured - 2008,Number of Persons Injured - 2009,Number of Persons Injured - 2010,Number of Persons Injured - 2011,Number of Persons Injured - 2012,Number of Persons Injured - 2013,Number of Persons Injured - 2014,Number of Persons Injured - 2015,Number of Persons Greviously Injured - 2016,Number of Persons Minor Injured - 2016
Andhra Pradesh,800,919,1108,1051,1085,1182,1339,1405,285,155,100,304,316,412,372,450,475,580,460,192,138,43,893,1251,1449,1594,1388,1389,1531,1544,442,123,21,129
Arunachal Pradesh,12,23,37,44,27,18,23,20,15,27,38,3,5,15,20,11,9,14,12,9,13,31,8,51,41,94,61,34,39,28,29,41,39,16
Assam,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,83,37
Bihar,163,189,382,250,484,174,283,316,446,301,322,68,89,196,108,185,78,155,147,252,188,176,136,121,338,181,310,96,138,175,282,203,168,105
Chhattisgarh,420,243,206,234,246,300,316,315,440,459,290,89,49,51,60,63,88,74,79,142,109,85,335,188,171,243,273,337,443,288,381,366,96,182
Goa,38,46,20,26,1,0,1,3,1,0,0,0,0,1,3,0,0,0,1,0,0,0,104,56,19,17,1,0,1,1,0,0,0,0
Gujarat,107,83,75,63,55,0,32,110,203,69,207,19,13,12,12,10,0,9,27,32,27,77,151,117,138,85,89,0,35,104,107,62,79,100
Haryana,40,156,167,179,158,152,142,155,141,183,281,20,49,55,60,68,70,55,60,74,107,160,38,122,142,115,96,84,74,61,56,201,106,95
Himachal Pradesh,94,48,24,60,83,32,34,44,25,50,0,35,13,7,11,44,15,18,28,11,29,0,164,83,27,134,139,65,52,32,63,53,0,0
Jammu & Kashmir,283,28,48,4,0,12,28,37,113,138,0,91,23,8,8,0,11,10,7,11,12,0,359,54,105,42,0,34,145,123,128,135,0,0
Jharkhand,179,135,80,50,169,128,239,255,223,106,195,70,50,50,31,108,79,103,127,137,62,132,239,137,76,44,111,111,221,211,231,180,179,92
Karnataka,486,355,308,319,386,243,241,354,178,565,236,143,91,102,55,90,48,57,77,43,160,62,646,405,489,445,570,642,624,426,183,788,67,236
Kerala,43,27,25,27,0,0,0,0,0,0,8,15,8,11,9,0,0,0,0,0,0,3,37,25,19,18,0,0,0,0,0,0,4,2
Madhya Pradesh,858,707,308,700,633,1644,818,1434,1446,1969,993,165,153,43,116,70,172,131,230,225,378,171,1335,657,506,746,627,1552,806,1341,1337,1183,48,989
Maharashtra,804,917,528,510,562,327,315,282,381,492,2921,159,177,86,86,82,60,61,60,79,113,1040,497,620,358,358,339,244,238,196,324,433,1558,1243
Manipur,16,15,14,10,7,39,102,88,81,65,40,0,1,21,0,3,5,23,16,10,13,2,28,11,56,13,6,73,171,171,128,121,9,41
Meghalaya,3,1,1,19,7,14,32,34,30,9,20,0,0,0,9,6,2,12,12,12,7,8,4,1,1,33,1,0,19,22,13,1,5,6
Mizoram,6,1,0,6,13,5,0,1,0,1,1,4,1,0,3,7,4,0,1,0,0,1,6,0,0,3,57,3,0,4,0,3,0,0
Nagaland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Odisha,462,555,740,897,32,7,19,11,26,0,0,199,196,288,407,10,0,12,4,9,0,0,547,681,988,1124,39,20,18,8,23,0,0,0
Punjab,2,31,87,95,141,133,92,95,190,250,130,0,9,56,80,58,114,77,80,129,169,84,2,76,61,66,89,95,35,39,173,140,71,22
Rajasthan,41,115,158,222,194,282,209,203,170,75,30,5,75,50,54,75,112,47,71,71,30,12,37,238,192,293,270,364,221,254,204,97,3,15
Sikkim,0,0,0,0,0,0,0,13,0,1,19,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,45,0,0,11,26
Tamil Nadu,424,260,498,614,552,1367,1072,140,118,181,570,86,53,143,121,139,370,219,52,27,53,234,320,265,458,733,587,1447,1267,181,165,204,5,336
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,494,72,56,NA,NA,NA,NA,NA,NA,NA,NA,194,17,21,NA,NA,NA,NA,NA,NA,NA,NA,1225,98,4,54
Tripura,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0
Uttarakhand,26,13,35,36,24,43,43,20,1,4,18,18,11,61,26,24,33,15,13,1,1,11,37,16,40,36,31,100,60,23,0,1,21,9
Uttar Pradesh,550,651,668,715,776,766,756,792,2719,1455,346,295,340,218,249,294,397,345,364,1468,774,465,497,431,438,592,560,417,661,802,1585,1084,36,18
West Bengal,568,432,578,397,234,459,660,813,630,553,174,236,130,220,188,117,231,329,450,335,300,99,629,489,511,359,322,598,633,758,417,485,101,72
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
Daman and Diu,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,NA,0,NA,NA,132,27,0,0,0,0,0,0,0,NA,0,28,3,0,0,0,0,0,NA,0,NA,NA,119,0,26
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,6425,5950,6095,6528,5869,7327,6796,6940,8356,7314,7158,2024,1852,2106,2088,1914,2373,2346,2378,3463,2733,2983,7049,6095,6623,7368,5966,7705,7432,6837,7496,6122,2728,3851
