Million Plus Cities,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured ,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured ,Foggy and Misty - Total Accidents,Foggy and Misty - Persons Killed,Foggy and Misty - Persons Injured - Greviously Injured,Foggy and Misty - Persons Injured - Minor Injury,Foggy and Misty - Persons Injured - Total Injured ,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured ,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured 
Agra,373,225,158,68,226,164,102,65,35,100,173,108,59,50,109,45,25,17,28,45,160,89,65,59,124
Ahmedabad,1432,403,620,442,1062,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allahabad(Prayagraj),270,131,53,115,168,226,101,49,99,148,222,97,50,92,142,204,92,47,90,137,243,114,54,102,156
Amritsar,33,15,16,9,25,0,0,0,0,0,8,6,6,0,6,0,0,0,0,0,57,44,5,12,17
Asansol Durgapur,154,102,77,32,109,8,6,2,0,2,48,35,18,5,23,0,0,0,0,0,188,159,75,15,90
Aurangabad,452,150,270,104,374,10,2,5,3,8,9,2,6,0,6,0,0,0,0,0,0,0,0,0,0
Bengaluru,3019,611,1803,831,2634,117,26,79,36,115,77,17,55,16,71,0,0,0,0,0,0,0,0,0,0
Bhopal,2211,216,204,1671,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,37,37,278,315
Chandigarh,202,91,9,161,170,4,4,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Coimbatore,718,192,479,92,571,21,7,13,2,15,123,33,78,20,98,0,0,0,0,0,4,2,1,2,3
Chennai,4523,897,2818,1703,4521,373,60,192,186,378,102,32,40,47,87,0,0,0,0,0,36,9,23,11,34
Delhi,2564,604,93,2242,2335,585,159,25,525,550,32,8,4,31,35,0,0,0,0,0,1539,468,57,1296,1353
Dhanbad,45,30,5,2,7,91,46,59,7,66,8,5,3,3,6,4,3,1,6,7,39,39,18,4,22
Faridabad,457,194,57,325,382,0,0,0,0,0,48,17,6,35,41,0,0,0,0,0,0,0,0,0,0
Ghaziabad,324,149,128,79,207,153,78,76,43,119,208,91,87,49,136,0,0,0,0,0,139,77,61,28,89
Gwalior,1097,216,50,759,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,143,28,503,531
Hyderabad,1002,114,210,757,967,32,8,6,21,27,194,30,38,140,178,13,1,7,5,12,1032,144,179,788,967
Indore,3363,454,96,2866,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,30,17,213,230
Jabalpur,2551,332,241,1842,2083,326,34,81,349,430,99,47,77,105,182,120,37,69,97,166,759,17,84,811,895
Jaipur,2146,620,491,1286,1777,19,5,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamshedpur,71,35,56,2,58,43,15,35,2,37,18,3,20,2,22,0,0,0,0,0,20,12,15,2,17
Jodhpur,426,171,53,250,303,1,1,0,0,0,29,19,3,14,17,0,0,0,0,0,137,46,7,95,102
Kannur,1049,100,700,495,1195,105,19,53,60,113,20,3,11,8,19,0,0,0,0,0,0,0,0,0,0
Kanpur,193,83,129,17,146,171,78,97,23,120,383,173,237,25,262,117,59,73,15,88,490,205,276,62,338
Khozikode,1185,105,850,360,1210,16,3,14,0,14,78,8,61,16,77,0,0,0,0,0,98,15,72,18,90
Kochi,1606,117,1218,373,1591,97,15,70,25,95,78,9,55,17,72,0,0,0,0,0,0,0,0,0,0
Kolkata,1524,169,819,451,1270,103,27,49,21,70,52,0,31,11,42,0,0,0,0,0,38,0,23,13,36
Kollam,1329,139,1143,255,1398,15,2,12,5,17,80,15,73,15,88,0,0,0,0,0,128,28,116,28,144
Kota,368,75,90,277,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucknow,160,59,55,46,101,181,63,54,59,113,211,67,63,52,115,129,37,57,42,99,109,35,55,38,93
Ludhiana,254,235,58,17,75,0,0,0,0,0,93,52,35,10,45,51,32,3,3,6,80,61,39,4,43
Madurai,617,154,281,225,506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallapuram,1734,230,1417,521,1938,322,47,249,105,354,91,14,67,25,92,0,0,0,0,0,0,0,0,0,0
Meerut,516,239,13,314,327,10,5,1,8,9,80,33,6,63,69,1,0,0,0,0,204,84,29,124,153
Mumbai,1830,312,1261,311,1572,400,75,244,126,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,958,268,552,412,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashik,466,181,340,63,403,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patna,148,73,102,6,108,141,81,86,4,90,95,56,84,3,87,0,0,0,0,0,0,0,0,0,0
Pune,741,255,457,99,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raipur,1409,437,54,1047,1101,332,34,9,192,201,22,1,0,9,9,0,0,0,0,0,0,0,0,0,0
Rajkot,321,118,148,127,275,17,11,12,3,15,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Srinagar,287,39,3,299,302,9,1,0,9,9,0,0,0,0,0,0,0,0,0,0,35,0,0,36,36
Surat,357,136,200,47,247,32,9,22,4,26,11,5,6,2,8,0,0,0,0,0,304,122,174,58,232
Thiruvanthapuram,1340,110,1163,248,1411,3,0,3,0,3,25,4,20,3,23,0,0,0,0,0,70,3,68,10,78
Thrissur,1496,168,1112,529,1641,223,33,169,65,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiruchirapalli,379,128,149,208,357,19,2,7,12,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Vadodra,439,133,192,141,333,25,13,13,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varanasi,147,83,46,53,99,95,66,35,31,66,87,56,26,27,53,50,20,30,20,50,44,11,27,15,42
Vijaywada city,1113,250,463,521,984,23,6,6,14,20,34,13,15,12,27,0,0,0,0,0,58,18,17,33,50
Vizaq,2111,328,831,524,1355,132,17,61,39,100,89,20,50,24,74,7,3,4,0,4,0,0,0,0,0
Total,51510,10676,21833,23624,45457,4650,1266,1958,2126,4084,2937,1087,1390,932,2322,741,309,308,306,614,7463,2012,1622,4659,6281
